PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
42435.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41701.26,42068.195,,,,,42068.195,,,,,42068.195,,,,,42068.195,,,,,42435.13,,,,,41701.26,,,,
41587.01,41644.135,,,,,41747.405,,,,,41640.475,,,,,41604.83166666666,,,,,41701.26,,,,,41587.01,,,,
41286.98,41436.995,41752.595,,,,41517.192500000005,41752.595,,,,41348.62125000001,41752.595,,,,41299.97895833335,41752.595,,,,41587.01,42435.13,,,,41286.98,41286.98,,,
41263.35,41275.165,41459.65,,,,41415.6555,41556.897,,,,41253.59055,41439.4782,,,,41228.308955,41369.026920000004,,,,41286.98,41701.26,,,,41263.35,41263.35,,,
39845.44,40554.395000000004,40995.69500000001,,,,40892.25033333334,40986.41133333334,,,,40435.27025555556,40527.808355555564,,,,40221.805773703716,40253.38471703706,,,,41263.35,41587.01,,,,39845.44,39845.44,,,
39785.59,39815.515,40545.340000000004,,,,40576.06166666667,40643.31952380953,,,,40023.79827777778,40070.68039002268,,,,39803.26413994709,39793.209108217256,,,,39845.44,41286.98,,,,39785.59,39785.59,,,
40104.45,39945.02,40249.7075,41001.151249999995,,,40458.15875,40508.60214285714,41001.151249999995,,,39955.53402083334,39978.08475680271,41001.151249999995,,,39827.36241225199,39801.57260624795,41001.151249999995,,,40104.45,41263.35,42435.13,,,39785.59,39785.59,39785.59,,
39542.42,39823.435,39819.475,40639.56250000001,,,40254.661250000005,40293.895,40676.98875,,,39705.455071759265,39714.27592195766,40424.86236111111,,,39569.53602691616,39538.798488868924,40228.76405864199,,,40104.45,40104.45,41701.26,,,39542.42,39542.42,39542.42,,
39705.12,39623.770000000004,39784.395,40390.045,,,40144.75300000001,40176.14,40482.615000000005,,,39617.46145740742,39618.24073756613,40125.4148888889,,,39526.257930051455,39495.234643581905,39884.47726913582,,,39705.12,40104.45,41587.01,,,39542.42,39542.42,39542.42,,
39177.85,39441.485,39632.46,40088.899999999994,,,39968.95245454546,39994.63272727272,40245.385,,,39393.6952915978,39389.663743959056,39759.0330909091,,,39279.829625288774,39250.51080452486,39456.23265821855,,,39705.12,40104.45,41286.98,,,39177.85,39177.85,39177.85,,
39147.82,39162.835,39393.3025,39821.505,,,39832.09704545455,39853.49727272727,40062.457500000004,,,39238.66990208908,39231.74357451134,39504.72465909092,,,39128.640196483386,39101.795529230956,39192.906855333655,,,39177.85,39705.12,41263.35,,,39147.82,39147.82,39147.82,,
38655.74,38901.78,39171.6325,39495.55374999999,,,39651.11903846154,39669.226923076916,39846.03942307692,,,38995.85314200436,38987.206574882366,39190.9886464497,,,38850.425984645015,38826.255678893984,38844.79686689357,,,39147.82,39705.12,40104.45,,,38655.74,38655.74,38655.74,,
38593.44,38624.59,38893.7125,39339.05375,,,39500.022032967034,39515.54307692307,39667.09664835165,,,38808.85383129415,38799.22519605302,38952.24503290666,,,38653.428577658386,38631.86940005541,38604.251360014765,,,38655.74,39177.85,40104.45,,,38593.44,38593.44,38593.44,,
38490.01,38541.725000000006,38721.7525,39177.106250000004,,,39365.353761904764,39378.80533333333,39510.151761904766,,,38649.62881886763,38639.490458801505,38754.59479359847,,,38493.644423200974,38474.51804109671,38417.72230461236,,,38593.44,39147.82,40104.45,,,38490.01,38490.01,38490.01,,
38169.44,38329.725000000006,38477.1575,38935.23,39968.190625,,39215.86454166667,39227.634666666665,39342.56279166667,39968.190625,,38458.80214880085,38448.45981811798,38534.810095440334,39968.190625,,38286.145533992414,38269.231475361514,38194.37540564745,39968.190625,,38490.01,38655.74,39705.12,42435.13,,38169.44,38169.44,38169.44,38169.44,
38011.37,38090.405,38316.065,38743.84875,39691.705625,,39074.15930147059,39084.54470588235,39185.951875,39737.976433823525,,38281.12903700421,38270.78163882382,38335.04280480029,39534.8462651384,,38097.04860781981,38082.11996711825,37996.580101477106,39355.61376335742,,38169.44,38593.44,39705.12,41701.26,,38011.37,38011.37,38011.37,38011.37,
38207.05,38109.21000000001,38219.4675,38556.59,39473.3175,,38977.81382352941,38987.04529411764,39077.185,39567.87349673202,,38187.25760805603,38177.03420183032,38224.139715378034,39236.11073604168,,38025.82971455257,38012.670026777545,37921.385121826555,38962.45287489838,,38207.05,38490.01,39177.85,41587.01,,38011.37,38011.37,38011.37,38011.37,
37976.81,38091.93,38091.167499999996,38406.46,39247.68,,38872.445,38880.704736842104,38961.35605263158,39400.39312865497,,38070.827859839614,38060.811155654286,38094.46858190335,38953.70190817888,,37916.49575935339,37904.906245801365,37811.19777905168,38606.01941050552,,38207.05,38207.05,39147.82,41286.98,,37976.81,37976.81,37976.81,37976.81,
37828.84,37902.825,38006.0175,38241.5875,39031.54625,,38768.0845,38775.518263157894,38848.104447368416,39243.23781578947,,37952.70462385565,37942.946213773066,37965.97927897616,38699.77593578204,,37801.41927103249,37791.221173528116,37697.32162851205,38299.76809429781,,37976.81,38207.05,38655.74,41263.35,,37828.84,37828.84,37828.84,37828.84,
38160.06,37994.45,38043.19,38179.6275,38837.59062499999,,38710.177404761904,38716.90319047619,38782.5764047619,39140.078023809525,,37920.06062113017,37910.591032415985,37925.17588052492,38555.0393682019,,37806.0404808492,37797.0749452976,37704.47458910264,38155.51042893502,,38160.06,38207.05,38593.44,40104.45,,37828.84,37828.84,37828.84,37828.84,
39302.0,38731.03,38316.9275,38268.1975,38803.625625,,38763.979458874455,38770.0938095238,38829.796731601724,39154.7982034632,,38094.60243203884,38085.43786496691,38093.269279422486,38636.32686168688,,38100.71117432533,38092.83797986231,38002.51635272744,38333.63447492727,,39302.0,39302.0,39302.0,40104.45,,38160.06,37828.84,37828.84,37828.84,
39752.17,39527.085,38760.7675,38425.9675,38801.536875000005,,38849.90907114625,38855.49173913043,38910.003102766794,39206.743577075096,,38317.19621437058,38308.34311678454,38310.753420101675,38780.78508440323,,38447.55409086082,38440.64990718603,38353.232624414755,38588.882028283304,,39752.17,39752.17,39752.17,40104.45,,39302.0,37828.84,37828.84,37828.84,
39723.18,39737.675,39234.35249999999,38620.185,38777.7075,,38922.68164855072,38927.79909420289,38977.76784420289,39249.77994565217,,38501.06972579379,38492.52793253558,38490.57331474296,38898.76799856527,,38722.406968760326,38716.36349602564,38632.229809134675,38791.55786390823,,39752.17,39752.17,39752.17,39752.17,,39723.18,38160.06,37828.84,37828.84,
39435.09,39579.134999999995,39553.11,38798.149999999994,38770.999375,,38963.67431666667,38968.382366666665,39014.35361666667,39264.60475,,38613.50460239697,38605.26950859941,38599.7935602302,38955.31257868005,,38882.861697734435,38877.58386632235,38796.941250252195,38895.06144850116,,39723.18,39752.17,39752.17,39752.17,,39435.09,39302.0,37828.84,37828.84,
38870.59,39152.84,39445.2575,38881.0925,38718.84125,,38956.51398461539,38960.859876923074,39003.29487692308,39234.29592307692,,38626.67086493449,38618.734940482296,38610.41598814149,38920.81807854489,,38894.07119409721,38889.47550603558,38812.41185676629,38861.33795233784,,39435.09,39752.17,39752.17,39752.17,,38870.59,38870.59,37828.84,37828.84,
38008.38,38439.485,39009.31,38885.03874999999,38645.749375,,38886.28183760684,38890.30581196581,38929.59747863248,39143.48733618233,,38515.84177585734,38508.19562548614,38497.58239801008,38769.14804782435,,38725.84491205561,38721.85795466616,38648.3783950323,38657.720668164155,,38870.59,39723.18,39752.17,39752.17,,38008.38,38008.38,37828.84,37828.84,
38750.01,38379.195,38766.0175,39000.185,38620.886249999996,,38876.54813492064,38880.284682539685,38916.7698015873,39115.381812169304,,38523.529639373206,38516.16274634145,38503.70152661027,38741.683057824805,,38734.7097201735,38731.26685584136,38661.31984337302,38638.80955829572,,38750.01,39435.09,39752.17,39752.17,,38008.38,38008.38,38008.38,37828.84,
40692.24,39721.125,39080.305,39316.7075,38748.167499999996,,39001.7682635468,39005.2471182266,39039.216022167486,39224.13065270935,,38789.680128827,38782.581376371236,38768.63686807387,38977.453146753476,,39117.50709172196,39114.55131443175,39048.04724105478,38999.93553362272,,40692.24,40692.24,40692.24,40692.24,,38750.01,38008.38,38008.38,37828.84,
40862.46,40777.35,39578.2725,39511.765,38889.98125,,39125.814379310345,39129.06131034483,39160.76562068965,39333.35260919539,,39043.6418282845,39036.7998639235,39021.671368822965,39205.06076302355,,39470.868205100815,39468.34914851843,39405.17362568362,39336.537606566606,,40862.46,40862.46,40862.46,40862.46,,40692.24,38008.38,38008.38,37828.84,
40219.47,40540.965,40131.045,39570.177500000005,38998.072499999995,,39196.37280645162,39199.41025806452,39229.06912903226,39390.52147311827,,39185.507980882176,39178.91146895653,39162.84553025167,39323.98707036925,,39651.878592685694,39649.75167267717,39589.775026653464,39504.75462914376,,40862.46,40862.46,40862.46,40862.46,,40219.47,38750.01,38008.38,37828.84,
40729.59,40474.53,40625.939999999995,39695.978749999995,39158.08187499999,39563.13624999999,39292.19888104839,39295.046491935485,39322.851683467736,39474.21325604838,39563.13624999999,39371.85005201151,39365.48784640078,39348.688204394195,39490.29829996815,39563.13624999999,39893.93124732659,39892.15692198882,39835.240969496226,39737.22361757125,39563.13624999999,40729.59,40862.46,40862.46,40862.46,42435.13,40219.47,40219.47,38008.38,37828.84,37828.84
