PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
7225.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7209.83,7217.42,,,,,,,7217.42,,,,,,,7217.42,,,,,,,7217.42,,,,,,,7225.01,,,,,,,7209.83,,,,,,
7197.2,7203.515,,,,,,,7203.94,,,,,,,7199.446667,,,,,,,7197.948889,,,,,,,7209.83,,,,,,,7197.2,,,,,,
7234.19,7215.695,7216.5575,,,,,,7219.065,7216.5575,,,,,,7224.380833,7216.5575,,,,,,7228.536528,7216.5575,,,,,,7234.19,7234.19,,,,,,7197.2,7197.2,,,,,
7229.48,7231.835,7217.675,,,,,,7223.231,7221.7265,,,,,,7228.9201,7224.8279,,,,,,7231.637477,7226.68874,,,,,,7234.19,7234.19,,,,,,7229.48,7197.2,,,,,
7200.85,7215.165,7215.43,,,,,,7215.770667,7214.767667,,,,,,7214.589844,7212.196044,,,,,,7211.821481,7209.65459,,,,,,7229.48,7234.19,,,,,,7200.85,7197.2,,,,,
7129.61,7165.23,7198.5325,,,,,,7191.153333,7190.436905,,,,,,7172.726079,7171.220916,,,,,,7158.429797,7157.516758,,,,,,7200.85,7234.19,,,,,,7129.61,7129.61,,,,,
7110.57,7120.09,7167.6275,7192.0925,,,,,7171.0075,7170.470179,7192.0925,,,,,7142.077685,7141.083142,7192.0925,,,,,7123.478552,7123.176738,7192.0925,,,,,7129.61,7229.48,7234.19,,,,,7110.57,7110.57,7110.57,,,,
7139.79,7125.18,7145.205,7181.44,,,,,7164.070278,7163.652361,7180.469722,,,,,7136.173693,7135.493031,7171.429784,,,,,7122.511324,7122.520709,7164.398721,,,,,7139.79,7200.85,7234.19,,,,,7110.57,7110.57,7110.57,,,,
7130.98,7135.385,7127.7375,7171.58375,,,,,7157.452222,7157.117889,7170.571778,,,,,7129.84051,7129.362847,7155.421472,,,,,7119.138513,7119.30842,7144.908327,,,,,7139.79,7139.79,7234.19,,,,,7130.98,7110.57,7110.57,,,,
6983.27,7057.125,7091.1525,7144.8425,,,,,7125.782727,7125.509182,7136.516909,,,,,7077.279921,7076.938841,7096.25813,,,,,7051.431029,7051.681794,7067.113169,,,,,7130.98,7139.79,7234.19,,,,,6983.27,6983.27,6983.27,,,,
6965.71,6974.49,7054.9375,7111.2825,,,,,7099.103939,7098.875985,7108.049091,,,,,7036.452611,7036.20637,7050.776926,,,,,7003.121433,7003.409436,7012.311638,,,,,6983.27,7139.79,7229.48,,,,,6965.71,6965.71,6965.71,,,,
6952.04,6958.875,7008,7076.6025,,,,,7076.478718,7076.285833,7084.047692,,,,,7004.321637,7004.142954,7015.277754,,,,,6968.075004,6968.375863,6973.001318,,,,,6965.71,7130.98,7200.85,,,,,6952.04,6952.04,6952.04,,,,
7203.21,7077.625,7026.0575,7076.8975,,,,,7094.583187,7094.417857,7101.070879,,,,,7048.252377,7048.122839,7056.716521,,,,,7039.320637,7039.62064,7041.407215,,,,,7203.21,7203.21,7203.21,,,,,6952.04,6952.04,6952.04,,,,
7340.46,7271.835,7115.355,7103.25375,,,,,7127.366762,7127.223476,7132.989429,,,,,7115.625825,7115.532663,7122.211728,,,,,7137.862874,7138.154403,7138.043432,,,,,7340.46,7340.46,7340.46,,,,,7203.21,6952.04,6952.04,,,,
7320.18,7330.32,7203.9725,7129.455,7160.77375,,,,7151.468417,7151.343042,7156.38825,7160.77375,,,,7162.284045,7162.2182,7167.43173,7160.77375,,,,7201.478457,7201.757448,7200.378006,7160.77375,,,,7340.46,7340.46,7340.46,7340.46,,,,7320.18,6952.04,6952.04,6952.04,,,
7343.08,7331.63,7301.7325,7154.86625,7168.153125,,,,7174.010956,7173.900331,7178.351985,7182.221544,,,,7203.444633,7203.399549,7207.475999,7201.146068,,,,7254.455628,7254.720115,7252.499654,7217.844178,,,,7343.08,7343.08,7343.08,7343.08,,,,7320.18,7203.21,6952.04,6952.04,,,
