PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
29278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29092.83,29185.615,,,,,,,29185.615,,,,,,,29185.615,,,,,,,29185.615,,,,,,,29278.4,,,,,,,29092.83,,,,,,
29313.49,29203.16,,,,,,,29270.865,,,,,,,29299.28167,,,,,,,29308.75389,,,,,,,29313.49,,,,,,,29092.83,,,,,,
29188.67,29251.08,29218.3475,,,,,,29229.7675,29218.3475,,,,,,29223.42708,29218.3475,,,,,,29210.78465,29218.3475,,,,,,29313.49,29313.49,,,,,,29188.67,29092.83,,,,,
29029.04,29108.855,29156.0075,,,,,,29149.4765,29142.6245,,,,,,29097.49765,29097.1907,,,,,,29062.52913,29069.93042,,,,,,29188.67,29313.49,,,,,,29029.04,29029.04,,,,,
29331.69,29180.365,29215.7225,,,,,,29210.21433,29205.64633,,,,,,29216.05366,29217.37169,,,,,,29231.28676,29237.30427,,,,,,29331.69,29331.69,,,,,,29029.04,29029.04,,,,,
29351.95,29341.82,29225.3375,,,,,,29250.71024,29247.44738,,,,,,29283.80683,29285.68053,,,,,,29314.15709,29318.85222,,,,,,29351.95,29351.95,,,,,,29331.69,29029.04,,,,,
29750,29550.975,29365.67,29292.00875,,,,,29375.53268,29373.08554,29292.00875,,,,,29493.97195,29495.98901,29292.00875,,,,,29580.74166,29584.37053,29292.00875,,,,,29750,29750,29750,,,,,29351.95,29029.04,29029.04,,,,
29755,29752.5,29547.16,29351.58375,,,,,29459.85875,29457.95542,29394.89569,,,,,29617.56513,29619.55692,29474.91887,,,,,29715.59376,29718.39656,29537.15912,,,,,29755,29755,29755,,,,,29750,29331.69,29029.04,,,,
31691.29,30723.145,30137.06,29676.39125,,,,,29906.145,29904.62233,29854.17456,,,,,30389.3391,30391.23707,30285.61619,,,,,30728.15219,30730.31937,30616.54315,,,,,31691.29,31691.29,31691.29,,,,,29755,29351.95,29029.04,,,,
