Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
25.759753775715424,TEMA,2,UP,DEMA,2,TEMA,16,UP_DOWN,SMA,32
14.897135847785492,DEMA,8,UP,EMA,2,SMA,4,UP,SMA,32
20.802823621722453,SMA,2,UP,DEMA,16,SMA,16,UP,DEMA,4
13.937726554603373,TEMA,4,UP_DOWN,SMA,16,DEMA,16,UP,SMA,16
13.560513702761185,SMA,32,UP_DOWN,TEMA,16,SMA,2,UP,DEMA,16
11.11086184396899,TEMA,8,UP,EMA,4,EMA,16,DOWN,SMA,32
20.802823621722453,TEMA,16,UP,TEMA,2,SMA,16,UP,DEMA,2
15.423897431996451,DEMA,16,DOWN,TEMA,16,SMA,2,UP_DOWN,EMA,4
25.759753775715424,DEMA,2,UP,SMA,4,TEMA,16,UP_DOWN,SMA,32
25.759753775715424,TEMA,2,UP,EMA,2,SMA,8,UP_DOWN,SMA,32
10.381036075358196,EMA,4,DOWN,SMA,4,SMA,2,UP,TEMA,4
13.759067957040358,EMA,8,DOWN,TEMA,2,SMA,8,UP_DOWN,SMA,16
16.76579383789229,DEMA,2,UP,SMA,4,SMA,64,UP_DOWN,DEMA,2
21.57090389586554,EMA,2,UP,SMA,4,SMA,16,DOWN,DEMA,16
15.02077472473465,EMA,4,DOWN,TEMA,2,SMA,16,UP_DOWN,TEMA,32
10.622186820802696,DEMA,16,UP_DOWN,SMA,16,SMA,4,UP,DEMA,8
12.863608229031001,SMA,4,UP,TEMA,4,EMA,2,UP_DOWN,SMA,32
19.02068202236903,SMA,2,UP,TEMA,16,DEMA,8,UP_DOWN,SMA,4
19.645784792316093,TEMA,2,UP,DEMA,2,SMA,64,UP_DOWN,TEMA,8
15.43221640122347,TEMA,2,UP,DEMA,16,SMA,8,UP,DEMA,32
18.34501953295222,DEMA,4,DOWN,TEMA,2,SMA,64,UP,TEMA,32
24.139212696637202,DEMA,2,UP,SMA,2,EMA,16,UP_DOWN,SMA,32
10.516357466674037,EMA,16,UP_DOWN,SMA,4,SMA,32,DOWN,DEMA,16
18.85631840904054,DEMA,2,UP,EMA,4,SMA,8,UP_DOWN,EMA,8
10.606446219855712,SMA,16,UP_DOWN,DEMA,4,DEMA,2,DOWN,SMA,16
11.06582293964749,EMA,8,DOWN,TEMA,2,EMA,32,DOWN,TEMA,8
12.008314304458082,EMA,8,DOWN,SMA,16,SMA,16,UP,EMA,8
19.31037044491208,SMA,2,UP,EMA,2,SMA,2,UP_DOWN,TEMA,16
16.94752222716454,DEMA,8,DOWN,TEMA,8,SMA,2,UP_DOWN,SMA,32
14.027150227056637,SMA,2,UP,DEMA,4,SMA,4,UP,TEMA,4
10.55965254538043,TEMA,2,UP,EMA,4,DEMA,2,DOWN,SMA,16
16.037384503450056,EMA,2,UP,SMA,4,DEMA,4,DOWN,TEMA,32
13.424426540180207,EMA,32,DOWN,SMA,2,SMA,8,UP,EMA,32
15.935849753188918,TEMA,2,UP,SMA,2,TEMA,2,UP,DEMA,8
11.403340804127097,DEMA,16,UP_DOWN,SMA,8,SMA,64,DOWN,SMA,2
14.131303633742974,DEMA,4,DOWN,TEMA,4,EMA,4,DOWN,TEMA,16
