Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
18.18532759704327,DEMA,4,UP,SPL,4,SMA,4,UP,SMA,16
14.341679659726253,SMA,4,DOWN,RSL,2,TEMA,16,DOWN,RSL,2
12.9221167585235,SMA,16,DOWN,TEMA,2,TEMA,4,UP,RSL,2
12.135734589661126,DEMA,4,UP,EMA,2,DEMA,8,DOWN,SPL,2
23.407860395266752,TEMA,4,UP,SPL,4,TEMA,16,DOWN,SPL,8
13.111963065287654,TEMA,4,UP,SPL,4,TEMA,8,UP,RSL,2
11.203136207052367,DEMA,4,UP,DEMA,2,TEMA,16,DOWN,RSL,2
16.625065253857443,TEMA,2,DOWN,SPL,2,EMA,8,DOWN,SPL,32
20.35235694030898,DEMA,16,UP,SPL,8,SMA,4,UP,EMA,16
19.36543958623264,SMA,8,DOWN,SMA,4,EMA,4,UP,RSL,4
10.103328590510642,DEMA,16,UP,SPL,2,TEMA,16,UP,RSL,8
19.817842472264132,EMA,2,UP,SPL,4,DEMA,16,DOWN,SMA,16
13.831395138086577,TEMA,16,UP,TEMA,4,DEMA,2,DOWN,SPL,2
16.287999299907554,SMA,16,UP,SPL,4,EMA,32,DOWN,SPL,8
19.581166872651238,SMA,2,UP,TEMA,8,DEMA,4,DOWN,SPL,8
12.962677459541041,TEMA,2,DOWN,SPL,2,EMA,4,DOWN,SPL,8
13.39300142723171,TEMA,4,DOWN,SMA,4,SMA,8,DOWN,SPL,2
17.3102721150467,SMA,2,UP,DEMA,2,EMA,8,DOWN,SPL,8
13.304203432820216,EMA,16,DOWN,SPL,2,SMA,32,UP,EMA,8
12.935868525668525,TEMA,16,DOWN,SPL,2,TEMA,32,UP,RSL,4
15.327984912911532,SMA,8,DOWN,RSL,4,DEMA,8,DOWN,SPL,4
14.009850085582201,DEMA,8,DOWN,RSL,4,SMA,8,DOWN,SMA,4
11.548920437519143,DEMA,16,UP,SPL,8,SMA,2,UP,EMA,8
15.623332149891112,TEMA,16,UP,SPL,2,SMA,32,DOWN,SMA,4
18.299135776886956,DEMA,4,DOWN,RSL,2,EMA,4,DOWN,SPL,8
21.421769334919276,SMA,4,DOWN,RSL,2,DEMA,8,DOWN,SPL,2
19.28467226063995,SMA,2,UP,DEMA,16,TEMA,8,UP,RSL,16
13.079665536782485,EMA,8,DOWN,SMA,4,TEMA,32,DOWN,SPL,8
12.942877036156816,EMA,4,DOWN,SPL,2,TEMA,32,UP,DEMA,4
20.040627556582976,SMA,2,UP,DEMA,8,EMA,2,UP,SPL,8
18.671229107522862,TEMA,16,DOWN,SPL,2,DEMA,2,DOWN,TEMA,4
12.478613088036383,TEMA,8,UP,EMA,4,TEMA,8,DOWN,RSL,4
13.332162840036773,TEMA,32,UP,SPL,2,SMA,4,UP,SMA,16
15.677495600247795,DEMA,8,UP,SPL,8,DEMA,4,DOWN,SPL,8
21.23983274790126,DEMA,2,UP,RSL,4,SMA,8,UP,EMA,4
19.843202325196117,DEMA,2,DOWN,RSL,2,EMA,4,UP,SPL,2
11.87828168784003,SMA,8,UP,RSL,2,TEMA,16,DOWN,RSL,4
13.23186299698277,TEMA,8,UP,DEMA,2,EMA,32,DOWN,SPL,16
12.252723696244956,TEMA,8,UP,RSL,16,DEMA,32,UP,DEMA,4
22.192231661620966,SMA,4,UP,SPL,2,TEMA,32,UP,RSL,8
12.026033313649876,EMA,4,DOWN,TEMA,2,SMA,16,DOWN,SPL,4
11.417906925132101,TEMA,8,DOWN,RSL,4,DEMA,8,UP,SMA,8
11.336534228798072,TEMA,4,UP,DEMA,8,DEMA,8,DOWN,RSL,8
10.721334469516123,TEMA,32,UP,SPL,4,TEMA,8,UP,RSL,32
10.208819294376028,TEMA,2,UP,DEMA,8,DEMA,8,DOWN,RSL,2
21.475746666482408,DEMA,8,UP,SPL,2,SMA,32,DOWN,SMA,4
13.844660539911061,DEMA,8,UP,SPL,2,DEMA,4,DOWN,SMA,4
12.928472840920037,TEMA,8,UP,DEMA,2,EMA,4,DOWN,SPL,8
10.02927594089968,TEMA,32,UP,SMA,16,TEMA,4,UP,RSL,16
20.926062387447274,DEMA,2,UP,RSL,4,DEMA,8,DOWN,SPL,16
11.269132677037845,TEMA,8,DOWN,RSL,2,TEMA,8,DOWN,RSL,32
23.16091913223036,DEMA,4,UP,RSL,4,SMA,8,UP,SMA,32
16.877093512665326,TEMA,4,UP,SPL,4,EMA,2,UP,SPL,8
19.74964749502203,SMA,4,UP,EMA,4,TEMA,4,UP,RSL,8
18.038589325162846,TEMA,16,UP,RSL,2,EMA,4,DOWN,SMA,8
18.86798480603065,TEMA,2,DOWN,SPL,2,DEMA,32,DOWN,TEMA,4
12.531740642419976,DEMA,32,UP,SPL,8,TEMA,4,UP,SMA,8
23.550949836392604,DEMA,8,UP,SPL,4,TEMA,32,DOWN,SPL,2
11.016599922708252,TEMA,8,UP,RSL,4,DEMA,8,UP,SMA,8
30.960579097246438,SMA,16,UP,RSL,2,EMA,4,DOWN,SPL,32
15.532805952539206,DEMA,2,UP,SPL,4,TEMA,4,UP,RSL,8
22.384050898197117,TEMA,4,DOWN,SMA,4,DEMA,8,UP,RSL,32
20.13640482595926,TEMA,16,UP,RSL,2,EMA,8,UP,SPL,8
13.621883265358719,DEMA,8,DOWN,DEMA,4,SMA,32,UP,SPL,4
10.773113243160708,SMA,8,UP,TEMA,4,SMA,16,DOWN,RSL,2
17.688807954556083,SMA,4,UP,TEMA,8,EMA,4,UP,SPL,8
18.175999199189434,SMA,16,DOWN,RSL,4,DEMA,4,DOWN,TEMA,4
11.287200124722347,SMA,16,DOWN,SPL,4,SMA,16,UP,DEMA,8
10.756703558132287,SMA,4,UP,SMA,8,TEMA,4,DOWN,RSL,8
13.140049678102372,TEMA,4,DOWN,RSL,2,TEMA,4,DOWN,SPL,2
13.73761445632259,TEMA,32,UP,SPL,2,TEMA,32,DOWN,SPL,2
23.18084968120806,SMA,16,DOWN,TEMA,4,TEMA,4,UP,RSL,32
10.66856399710747,TEMA,16,UP,SMA,16,TEMA,32,DOWN,SPL,4
26.28951759569162,SMA,8,DOWN,SPL,2,SMA,32,DOWN,SPL,16
11.901983316763221,TEMA,2,DOWN,RSL,2,SMA,4,DOWN,SMA,2
11.614909338578329,EMA,8,UP,SPL,32,TEMA,2,DOWN,SPL,8
